model,video_id,frame_idx,field,matched_class,matched_term,context,detected_in_frame
qwen3vl,CLIP1_normal_assembly,47,action,GPU,GPU,GPU를 케이스 내부에 장착 중,False
qwen3vl,CLIP1_normal_assembly,47,tools_or_parts,GPU,NVIDIA GeForce RTX 그래픽카드,NVIDIA GeForce RTX 그래픽카드,False
qwen3vl,CLIP1_normal_assembly,49,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP1_normal_assembly,49,tools_or_parts,GPU,그래픽카드,GEFORCE 그래픽카드,False
qwen3vl,CLIP1_normal_assembly,50,action,GPU,GPU,GPU를 케이스 내부에 장착 중,False
qwen3vl,CLIP1_normal_assembly,50,tools_or_parts,GPU,NVIDIA GeForce RTX 그래픽카드,NVIDIA GeForce RTX 그래픽카드,False
qwen3vl,CLIP1_normal_assembly,51,action,RAM,RAM 모듈,RAM 모듈을 서버 내 메모리 슬롯에 장착 중,False
qwen3vl,CLIP1_normal_assembly,51,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP1_normal_assembly,53,tools_or_parts,hand,손,손,False
qwen3vl,CLIP1_normal_assembly,57,tools_or_parts,hand,손,손,False
qwen3vl,CLIP1_normal_assembly,59,tools_or_parts,monitor,모니터,모니터,False
qwen3vl,CLIP1_normal_assembly,67,action,GPU,그래픽카드,그래픽카드의 전원 케이블을 연결 중,False
qwen3vl,CLIP1_normal_assembly,67,tools_or_parts,GPU,그래픽카드,RTX 3080 그래픽카드,False
qwen3vl,CLIP1_normal_assembly,72,action,RAM,RAM 모듈,RAM 모듈을 메인보드의 슬롯에 장착 중,False
qwen3vl,CLIP1_normal_assembly,72,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP1_normal_assembly,84,action,hand,손,RAM 모듈을 손으로 잡고 있는 중,False
qwen3vl,CLIP1_normal_assembly,90,action,monitor,모니터,모니터를 테이블 위에 놓는 중,False
qwen3vl,CLIP1_normal_assembly,95,action,monitor,모니터,모니터를 테이블 위에 고정된 스탠드에 설치 중,False
qwen3vl,CLIP1_normal_assembly,95,tools_or_parts,monitor,모니터,모니터,False
qwen3vl,CLIP2_0704,0,action,hand,손,컴퓨터 케이스의 측면 패널을 손으로 잡고 있는 중,False
qwen3vl,CLIP2_0704,0,tools_or_parts,hand,손,손,False
qwen3vl,CLIP2_0704,14,action,RAM,메모리 모듈,메모리 모듈을 RAM 슬롯에 장착 중,False
qwen3vl,CLIP2_0704,14,action,RAM_slot,RAM 슬롯,메모리 모듈을 RAM 슬롯에 장착 중,False
qwen3vl,CLIP2_0704,14,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP2_0704,14,tools_or_parts,hand,손,손,False
qwen3vl,CLIP2_0704,20,action,RAM,RAM 모듈,RAM 모듈을 메인보드의 슬롯에 장착 중,False
qwen3vl,CLIP2_0704,20,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP2_0704,20,tools_or_parts,hand,손,손,False
qwen3vl,CLIP2_0704,23,action,RAM,RAM 모듈,RAM 모듈을 메인보드의 슬롯에 삽입 중,False
qwen3vl,CLIP2_0704,23,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP2_0704,25,tools_or_parts,hand,손,손,False
qwen3vl,CLIP2_0704,26,action,RAM,RAM 모듈,RAM 모듈을 장착 중인 손의 움직임,False
qwen3vl,CLIP2_0704,26,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP2_0704,29,action,RAM,RAM 모듈,RAM 모듈을 메인보드의 슬롯에 장착 중,False
qwen3vl,CLIP2_0704,29,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP2_0704,30,action,RAM,RAM 모듈,RAM 모듈을 메인보드의 슬롯에 장착 중,False
qwen3vl,CLIP2_0704,30,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP2_0704,33,action,RAM,RAM 모듈,RAM 모듈을 메인보드의 슬롯에 장착 중,False
qwen3vl,CLIP2_0704,33,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP2_0704,34,action,monitor,모니터,모니터 케이스를 손으로 잡고 있는 상태,False
qwen3vl,CLIP2_0704,34,action,hand,손,모니터 케이스를 손으로 잡고 있는 상태,False
qwen3vl,CLIP2_0704,34,tools_or_parts,RAM,RAM,RAM,False
qwen3vl,CLIP2_0704,35,action,hand,손,"모듈을 장착 중인 상태로, 작업자의 손이 모듈을 잡고 있는 중",False
qwen3vl,CLIP2_0704,35,tools_or_parts,hand,손,손,False
qwen3vl,CLIP2_0704,36,tools_or_parts,hand,손,손,False
qwen3vl,CLIP2_0704,38,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP2_0704,39,tools_or_parts,RAM,RAM,RAM,False
qwen3vl,CLIP2_0704,43,tools_or_parts,RAM_slot,RAM 슬롯,RAM 슬롯,False
qwen3vl,CLIP2_0704,46,action,RAM,RAM 모듈,RAM 모듈을 메인보드의 슬롯에 삽입 중,False
qwen3vl,CLIP2_0704,46,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP2_0704,47,action,RAM,RAM 모듈,RAM 모듈을 메인보드의 슬롯에 장착 중,False
qwen3vl,CLIP2_0704,47,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP2_0704,5,action,hand,손,컴퓨터 케이스를 손으로 잡고 있는 상태,False
qwen3vl,CLIP3_before_reboot_0704,2,action,RAM,RAM 모듈,RAM 모듈을 손으로 들고 있는 상태,False
qwen3vl,CLIP3_before_reboot_0704,2,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP3_before_reboot_0704,36,action,hand,손,RAM 모듈을 손으로 잡고 있는 중,False
qwen3vl,CLIP3_before_reboot_0704,37,action,RAM,RAM 모듈,작업자가 RAM 모듈을 손으로 들고 있는 상태,False
qwen3vl,CLIP3_before_reboot_0704,37,action,hand,손,작업자가 RAM 모듈을 손으로 들고 있는 상태,False
qwen3vl,CLIP3_before_reboot_0704,37,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP3_before_reboot_0704,38,action,RAM,RAM 모듈,RAM 모듈을 손으로 들고 있는 상태,False
qwen3vl,CLIP3_before_reboot_0704,38,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP3_before_reboot_0704,39,action,RAM,RAM 모듈,RAM 모듈을 손으로 들고 있는 상태,False
qwen3vl,CLIP3_before_reboot_0704,39,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP3_before_reboot_0704,40,action,hand,손,RAM 모듈을 손으로 잡고 있는 중,False
qwen3vl,CLIP3_before_reboot_0704,44,action,RAM,RAM 모듈,메인보드에 장착된 RAM 모듈을 제거 중,False
qwen3vl,CLIP3_before_reboot_0704,44,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP3_before_reboot_0704,48,action,RAM,RAM 모듈,메인보드에 장착된 RAM 모듈을 제거하는 중,False
qwen3vl,CLIP3_before_reboot_0704,48,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP3_before_reboot_0704,52,action,RAM,RAM 모듈,메인보드에 장착된 RAM 모듈을 손으로 조작 중,False
qwen3vl,CLIP3_before_reboot_0704,52,action,hand,손,메인보드에 장착된 RAM 모듈을 손으로 조작 중,False
qwen3vl,CLIP3_before_reboot_0704,52,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
qwen3vl,CLIP3_before_reboot_0704,52,tools_or_parts,hand,손,손,False
qwen3vl,CLIP4_reboot_bios,10,action,hand,손,작업자 손이 책상 가장자리에 놓여 있음,False
qwen3vl,CLIP4_reboot_bios,100,action,monitor,모니터,작업자가 모니터 앞에서 키보드를 사용 중인 것으로 보임,False
qwen3vl,CLIP4_reboot_bios,100,tools_or_parts,monitor,모니터,모니터,False
qwen3vl,CLIP4_reboot_bios,35,tools_or_parts,monitor,모니터,모니터,False
qwen3vl,CLIP4_reboot_bios,41,tools_or_parts,monitor,모니터,모니터,False
qwen3vl,CLIP4_reboot_bios,43,tools_or_parts,monitor,컴퓨터 모니터,컴퓨터 모니터,False
qwen3vl,CLIP4_reboot_bios,44,action,monitor,컴퓨터 모니터,컴퓨터 모니터를 통해 BIOS 설정 메뉴를 확인 중,False
qwen3vl,CLIP4_reboot_bios,60,action,monitor,컴퓨터 모니터,컴퓨터 모니터를 통해 시스템 정보를 확인 중,False
qwen3vl,CLIP4_reboot_bios,83,action,monitor,컴퓨터 모니터,컴퓨터 모니터를 재부팅 중인 상태,False
internvl35,CLIP1_normal_assembly,10,tools_or_parts,monitor,모니터,모니터,False
internvl35,CLIP1_normal_assembly,11,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,12,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,13,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,14,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,17,action,RAM_slot,RAM 슬롯,RAM 슬롯에 손을 대고 있는 상태,False
internvl35,CLIP1_normal_assembly,17,tools_or_parts,RAM_slot,RAM 슬롯,RAM 슬롯,False
internvl35,CLIP1_normal_assembly,18,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,18,notable_technique,RAM,RAM,RAM을 부드럽게 눌러 장착,False
internvl35,CLIP1_normal_assembly,18,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP1_normal_assembly,19,notable_technique,RAM,RAM,RAM을 부드럽게 눌러 슬롯에 삽입하는 동작,False
internvl35,CLIP1_normal_assembly,19,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,22,notable_technique,RAM,RAM,RAM을 슬롯에 부드럽게 밀어 넣는 동작,False
internvl35,CLIP1_normal_assembly,22,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,23,notable_technique,RAM,RAM,RAM을 슬롯에 부드럽게 삽입한 후 손을 빼는 동작,False
internvl35,CLIP1_normal_assembly,23,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,25,action,RAM_slot,RAM 슬롯,RAM 슬롯을 조정하는 동작,False
internvl35,CLIP1_normal_assembly,25,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP1_normal_assembly,26,action,RAM_slot,RAM 슬롯,RAM 슬롯에 손을 대고 있는 상태,False
internvl35,CLIP1_normal_assembly,26,tools_or_parts,RAM_slot,RAM 슬롯,RAM 슬롯,False
internvl35,CLIP1_normal_assembly,27,action,RAM_slot,RAM 슬롯,RAM 슬롯에 손을 대고 있는 상태,False
internvl35,CLIP1_normal_assembly,28,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,28,notable_technique,RAM,RAM,두 손을 사용하여 RAM을 조심스럽게 설치하고 있는 모습,False
internvl35,CLIP1_normal_assembly,28,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP1_normal_assembly,29,action,RAM_slot,RAM 슬롯,RAM 슬롯에 RAM 장착,False
internvl35,CLIP1_normal_assembly,30,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,30,notable_technique,RAM,RAM,두 손을 사용하여 RAM을 조심스럽게 설치하고 있는 모습,False
internvl35,CLIP1_normal_assembly,30,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP1_normal_assembly,31,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,31,notable_technique,RAM,RAM,두 손을 사용하여 RAM을 조심스럽게 고정,False
internvl35,CLIP1_normal_assembly,31,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP1_normal_assembly,32,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,32,notable_technique,RAM,RAM,두 손을 사용하여 RAM을 조심스럽게 고정,False
internvl35,CLIP1_normal_assembly,32,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,33,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,33,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,34,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,34,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP1_normal_assembly,34,tools_or_parts,monitor,모니터,모니터,False
internvl35,CLIP1_normal_assembly,35,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,35,notable_technique,RAM,RAM,RAM을 부드럽게 눌러 장착하는 방식,False
internvl35,CLIP1_normal_assembly,35,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,36,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,36,notable_technique,RAM,RAM,RAM을 부드럽게 눌러 장착하는 동작,False
internvl35,CLIP1_normal_assembly,36,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,37,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,37,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,38,tools_or_parts,monitor,모니터,모니터,False
internvl35,CLIP1_normal_assembly,40,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,40,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP1_normal_assembly,41,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,41,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,42,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,42,notable_technique,RAM,RAM,RAM을 부드럽게 눌러 장착하는 동작,False
internvl35,CLIP1_normal_assembly,42,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,43,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,43,notable_technique,RAM,RAM,RAM을 부드럽게 눌러 장착,False
internvl35,CLIP1_normal_assembly,43,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP1_normal_assembly,44,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,44,notable_technique,RAM,RAM,RAM을 부드럽게 눌러 장착하는 동작,False
internvl35,CLIP1_normal_assembly,44,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP1_normal_assembly,45,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,45,notable_technique,RAM,RAM,RAM을 부드럽게 삽입한 후 손을 빼는 방식,False
internvl35,CLIP1_normal_assembly,45,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP1_normal_assembly,46,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,46,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,47,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,47,notable_technique,RAM,RAM,RAM을 부드럽게 눌러 장착하는 동작,False
internvl35,CLIP1_normal_assembly,47,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP1_normal_assembly,48,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,48,notable_technique,RAM,RAM,RAM을 부드럽게 눌러 장착하는 동작,False
internvl35,CLIP1_normal_assembly,48,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,49,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,49,notable_technique,RAM,RAM,RAM을 부드럽게 눌러 장착하는 동작,False
internvl35,CLIP1_normal_assembly,49,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,50,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,50,notable_technique,RAM,RAM,RAM을 부드럽게 삽입한 후 부착 고정,False
internvl35,CLIP1_normal_assembly,50,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP1_normal_assembly,51,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,51,notable_technique,RAM,RAM,RAM을 부드럽게 눌러 장착,False
internvl35,CLIP1_normal_assembly,51,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP1_normal_assembly,6,tools_or_parts,RAM_slot,RAM 슬롯,RAM 슬롯,False
internvl35,CLIP1_normal_assembly,63,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,63,notable_technique,RAM,RAM,RAM을 부드럽게 삽입한 후 고정하는 방식,False
internvl35,CLIP1_normal_assembly,63,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,67,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,67,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,68,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,68,notable_technique,RAM,RAM,RAM을 부드럽게 잡고 슬롯에 삽입,False
internvl35,CLIP1_normal_assembly,68,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,69,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,69,notable_technique,RAM,RAM,RAM을 부드럽게 삽입하는 동작,False
internvl35,CLIP1_normal_assembly,69,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,7,tools_or_parts,monitor,모니터,모니터,False
internvl35,CLIP1_normal_assembly,70,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,70,notable_technique,RAM,RAM,RAM을 부드럽게 삽입한 후 손을 떼는 동작,False
internvl35,CLIP1_normal_assembly,70,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,72,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,72,notable_technique,RAM,RAM,"두 손을 사용하여 RAM을 조심스럽게 설치하고 있으며, 안정적으로 고정하기 위해 손을 사용하는 방식",False
internvl35,CLIP1_normal_assembly,72,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP1_normal_assembly,73,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,74,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,8,tools_or_parts,RAM,RAM,RAM modules,False
internvl35,CLIP1_normal_assembly,80,tools_or_parts,RAM_slot,RAM 슬롯,RAM 슬롯,False
internvl35,CLIP1_normal_assembly,80,tools_or_parts,GPU,그래픽 카드,GEFORCE RTX 그래픽 카드,False
internvl35,CLIP1_normal_assembly,84,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP1_normal_assembly,9,tools_or_parts,RAM,메모리 모듈,메모리 모듈,False
internvl35,CLIP1_normal_assembly,9,tools_or_parts,GPU,그래픽 카드,그래픽 카드,False
internvl35,CLIP1_normal_assembly,90,action,monitor,모니터,모니터를 조정하거나 고정하는 작업,False
internvl35,CLIP1_normal_assembly,90,tools_or_parts,monitor,모니터,모니터,False
internvl35,CLIP1_normal_assembly,95,action,monitor,모니터,모니터를 조정 중,False
internvl35,CLIP2_0704,14,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP2_0704,14,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP2_0704,15,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP2_0704,15,notable_technique,RAM,RAM,두 손을 사용하여 RAM을 조심스럽게 설치하고 있는 모습,False
internvl35,CLIP2_0704,15,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP2_0704,18,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP2_0704,18,notable_technique,RAM,RAM,RAM을 부드럽게 밀어 장착하는 동작,False
internvl35,CLIP2_0704,18,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP2_0704,19,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP2_0704,19,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP2_0704,20,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP2_0704,20,notable_technique,RAM,RAM,RAM을 부드럽게 삽입한 후 고정하는 방식,False
internvl35,CLIP2_0704,20,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP2_0704,23,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP2_0704,23,notable_technique,RAM,RAM,RAM을 부드럽게 밀어 장착하는 동작,False
internvl35,CLIP2_0704,23,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP2_0704,24,notable_technique,RAM,RAM,RAM을 부드럽게 삽입하고 안정적으로 고정하기 위해 손을 조정하는 방식,False
internvl35,CLIP2_0704,24,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP2_0704,26,notable_technique,RAM,RAM,RAM을 부드럽게 삽입하는 동작,False
internvl35,CLIP2_0704,26,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP2_0704,27,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP2_0704,27,notable_technique,RAM,RAM,RAM을 부드럽게 삽입하는 동작,False
internvl35,CLIP2_0704,27,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP2_0704,30,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP2_0704,30,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP2_0704,33,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP2_0704,33,notable_technique,RAM,RAM,RAM을 부드럽게 삽입하고 안정적으로 고정하는 방식,False
internvl35,CLIP2_0704,33,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP2_0704,34,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP2_0704,34,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP2_0704,36,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP2_0704,37,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP2_0704,37,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP2_0704,38,action,RAM_slot,RAM 슬롯,RAM 슬롯을 가리키는 동작,False
internvl35,CLIP2_0704,38,tools_or_parts,RAM_slot,RAM 슬롯,RAM 슬롯,False
internvl35,CLIP2_0704,41,action,RAM_slot,RAM 슬롯,RAM 슬롯에 메모리 장착,False
internvl35,CLIP2_0704,41,tools_or_parts,RAM,RAM 모듈,RAM 모듈,False
internvl35,CLIP2_0704,42,action,RAM_slot,RAM 슬롯,RAM 슬롯을 조정하는 동작,False
internvl35,CLIP2_0704,42,tools_or_parts,RAM,RAM,RAM,False
internvl35,CLIP2_0704,43,action,RAM_slot,RAM 슬롯,RAM 슬롯을 열고 있는 동작,False
internvl35,CLIP2_0704,43,tools_or_parts,RAM_slot,RAM 슬롯,RAM 슬롯,False
