model,video_id,frame_idx,term,action_context
qwen3vl,CLIP1_normal_assembly,48,서버 케이스,서버 내부의 케이블 또는 모듈을 조작 중
qwen3vl,CLIP1_normal_assembly,49,메인보드,하드웨어 부품을 장착 중인 손의 움직임
qwen3vl,CLIP1_normal_assembly,49,하드웨어 케이스,하드웨어 부품을 장착 중인 손의 움직임
qwen3vl,CLIP1_normal_assembly,5,컴퓨터 케이스 상단 덮개,컴퓨터 케이스 상단 덮개를 손으로 들어 올리는 동작
qwen3vl,CLIP1_normal_assembly,50,케이스 내부 케이블,GPU를 케이스 내부에 장착 중
qwen3vl,CLIP1_normal_assembly,53,케이스,GPU를 케이스 내부에 장착 중
qwen3vl,CLIP1_normal_assembly,55,컴퓨터 케이스,GPU를 케이스 내부에 장착 중
qwen3vl,CLIP1_normal_assembly,55,케이블,GPU를 케이스 내부에 장착 중
qwen3vl,CLIP1_normal_assembly,56,케이스 내부 케이블,GPU를 케이스 내부에 장착 중
qwen3vl,CLIP1_normal_assembly,56,케이스 베이스,GPU를 케이스 내부에 장착 중
qwen3vl,CLIP1_normal_assembly,57,케이스,GPU를 케이스 내부에 장착 중
qwen3vl,CLIP1_normal_assembly,58,케이스,GPU를 케이스 내부에 장착 중
qwen3vl,CLIP1_normal_assembly,59,케이블,케이블을 장착 중인 상태
qwen3vl,CLIP1_normal_assembly,59,서버 케이스,케이블을 장착 중인 상태
qwen3vl,CLIP1_normal_assembly,60,하드웨어 부품(스탠드형 케이블 또는 커넥터),하드웨어 부품(스탠드형 케이블 또는 커넥터)을 손으로 조작 중
qwen3vl,CLIP1_normal_assembly,61,하드웨어 부품,하드웨어 부품을 손으로 조작 중
qwen3vl,CLIP1_normal_assembly,62,하드웨어 부품,하드웨어 부품을 손으로 조립 중
qwen3vl,CLIP1_normal_assembly,64,케이블,케이스 내부의 케이블을 조정 중
qwen3vl,CLIP1_normal_assembly,65,케이블,하드웨어 케이블을 손으로 조작 중
qwen3vl,CLIP1_normal_assembly,66,케이블,케이스 내부의 케이블을 조정 중
qwen3vl,CLIP1_normal_assembly,67,PCIe 전원 케이블,그래픽카드의 전원 케이블을 연결 중
qwen3vl,CLIP1_normal_assembly,68,하드웨어 부품,하드웨어 부품을 손으로 조립 중
qwen3vl,CLIP1_normal_assembly,69,케이블,케이스 내부의 케이블을 조작 중
qwen3vl,CLIP1_normal_assembly,70,스프링 클립 또는 장착 도구(불명),모듈(하드웨어 부품)을 장착 중
qwen3vl,CLIP1_normal_assembly,71,케이블,메인보드에 케이블을 연결하는 중
qwen3vl,CLIP1_normal_assembly,71,메인보드,메인보드에 케이블을 연결하는 중
qwen3vl,CLIP1_normal_assembly,73,케이블,케이스 내부의 케이블을 조정 중
qwen3vl,CLIP1_normal_assembly,74,케이블,케이스 내부의 케이블을 조작 중
qwen3vl,CLIP1_normal_assembly,75,케이블,케이스 내부의 케이블을 조정 중
qwen3vl,CLIP1_normal_assembly,76,케이블,모듈(케이블 또는 부품)을 장착 중
qwen3vl,CLIP1_normal_assembly,77,케이블,케이스 내부의 케이블을 조작 중
qwen3vl,CLIP1_normal_assembly,78,케이블,케이스 내부의 케이블을 조정 중
qwen3vl,CLIP1_normal_assembly,79,케이블,케이스 내부의 케이블을 조정 중
qwen3vl,CLIP1_normal_assembly,81,전원 케이블,케이스 후면의 전원 케이블을 연결 중
qwen3vl,CLIP1_normal_assembly,81,컴퓨터 케이스,케이스 후면의 전원 케이블을 연결 중
qwen3vl,CLIP1_normal_assembly,82,컴퓨터 케이스,컴퓨터 케이스 내부의 장착 부품을 손으로 조작 중
qwen3vl,CLIP1_normal_assembly,83,케이블,케이스 내부의 케이블을 조정 중
qwen3vl,CLIP1_normal_assembly,83,컴퓨터 케이스,케이스 내부의 케이블을 조정 중
qwen3vl,CLIP1_normal_assembly,86,컴퓨터 케이스,컴퓨터 케이스의 앞면 패널을 손으로 누르는 동작
qwen3vl,CLIP1_normal_assembly,88,컴퓨터 케이스,컴퓨터 케이스의 앞면 패널을 손으로 누르는 동작
qwen3vl,CLIP1_normal_assembly,89,컴퓨터 케이스,컴퓨터 케이스의 앞면 패널을 손으로 누르는 동작
qwen3vl,CLIP1_normal_assembly,91,컴퓨터 케이스,컴퓨터 케이스를 손으로 잡고 약간 움직이는 중
qwen3vl,CLIP1_normal_assembly,95,스탠드,모니터를 테이블 위에 고정된 스탠드에 설치 중
qwen3vl,CLIP1_normal_assembly,95,테이블,모니터를 테이블 위에 고정된 스탠드에 설치 중
qwen3vl,CLIP1_normal_assembly,96,테이블,모니터가 테이블 위에 고정된 상태
qwen3vl,CLIP1_normal_assembly,97,테이블,모니터를 테이블 위에 고정된 위치로 배치
qwen3vl,CLIP1_normal_assembly,98,테이블,모니터를 테이블 위에 고정된 위치로 배치
qwen3vl,CLIP1_normal_assembly,98,케이블,모니터를 테이블 위에 고정된 위치로 배치
qwen3vl,CLIP2_0704,0,컴퓨터 케이스,컴퓨터 케이스의 측면 패널을 손으로 잡고 있는 중
qwen3vl,CLIP2_0704,1,PC 케이스,케이스 측면 패널을 손으로 누르는 동작
qwen3vl,CLIP2_0704,10,PC 케이스,케이스 후면 패널을 손으로 잡아 열려는 동작
qwen3vl,CLIP2_0704,11,컴퓨터 케이스,케이스 후면 패널을 손으로 잡아 열고 있는 중
qwen3vl,CLIP2_0704,14,메인보드,메모리 모듈을 RAM 슬롯에 장착 중
qwen3vl,CLIP2_0704,15,케이블,GPU를 장착 중인 상태에서 케이블을 연결하는 동작
qwen3vl,CLIP2_0704,16,케이블,GPU를 케이블로 연결 중
qwen3vl,CLIP2_0704,21,케이블,GPU 장착 중인 상태에서 손으로 케이블을 조정 중
qwen3vl,CLIP2_0704,23,메인보드,RAM 모듈을 메인보드의 슬롯에 삽입 중
qwen3vl,CLIP2_0704,27,케이블,GPU 케이블을 연결 중
qwen3vl,CLIP2_0704,28,케이블,메인보드의 케이블을 조정 중
qwen3vl,CLIP2_0704,28,메인보드,메인보드의 케이블을 조정 중
qwen3vl,CLIP2_0704,29,메인보드,RAM 모듈을 메인보드의 슬롯에 장착 중
qwen3vl,CLIP2_0704,30,메인보드,RAM 모듈을 메인보드의 슬롯에 장착 중
qwen3vl,CLIP2_0704,31,전원 케이블,GPU에 전원 케이블 연결
qwen3vl,CLIP2_0704,33,메인보드,RAM 모듈을 메인보드의 슬롯에 장착 중
qwen3vl,CLIP2_0704,34,PC 케이스,모니터 케이스를 손으로 잡고 있는 상태
qwen3vl,CLIP2_0704,34,메인보드,모니터 케이스를 손으로 잡고 있는 상태
qwen3vl,CLIP2_0704,34,CPU 쿨러,모니터 케이스를 손으로 잡고 있는 상태
qwen3vl,CLIP2_0704,34,케이블,모니터 케이스를 손으로 잡고 있는 상태
qwen3vl,CLIP2_0704,35,PCB 보드,"모듈을 장착 중인 상태로, 작업자의 손이 모듈을 잡고 있는 중"
qwen3vl,CLIP2_0704,36,메인보드,RAM 장착 중
qwen3vl,CLIP2_0704,38,서버 보드,서버 내부의 카드 슬롯을 가리키는 동작
qwen3vl,CLIP2_0704,39,모더니티,컴퓨터 케이스를 들고 있는 중
qwen3vl,CLIP2_0704,39,케이스,컴퓨터 케이스를 들고 있는 중
qwen3vl,CLIP2_0704,4,PC 케이스,케이스 측면 패널을 손으로 잡아 당기고 있는 중
qwen3vl,CLIP2_0704,43,케이블,손가락으로 케이블 또는 부품을 가리키는 행동
qwen3vl,CLIP2_0704,43,모더니티 케이블,손가락으로 케이블 또는 부품을 가리키는 행동
qwen3vl,CLIP2_0704,43,메인보드,손가락으로 케이블 또는 부품을 가리키는 행동
qwen3vl,CLIP2_0704,44,케이블,GPU를 장착 중인 상태에서 손으로 케이블을 조정 중
qwen3vl,CLIP2_0704,45,메인보드,메인보드에 장착된 하드웨어 부품을 조작 중
qwen3vl,CLIP2_0704,45,하드웨어 부품,메인보드에 장착된 하드웨어 부품을 조작 중
qwen3vl,CLIP2_0704,46,메인보드,RAM 모듈을 메인보드의 슬롯에 삽입 중
qwen3vl,CLIP2_0704,47,메인보드,RAM 모듈을 메인보드의 슬롯에 장착 중
qwen3vl,CLIP2_0704,48,CPU 쿨러,CPU 쿨러를 설치 중인 손의 움직임
qwen3vl,CLIP2_0704,54,메인보드,RAM을 손으로 잡아 들어 올리고 있는 중
qwen3vl,CLIP2_0704,6,컴퓨터 케이스,케이스 측면 패널을 손으로 잡아 당기고 있는 중
qwen3vl,CLIP2_0704,7,컴퓨터 케이스,케이스 측면 패널을 손으로 잡아 당기고 있는 중
qwen3vl,CLIP2_0704,8,컴퓨터 케이스,컴퓨터 케이스의 측면 패널을 손으로 잡고 있는 상태
qwen3vl,CLIP2_0704,9,케이스 후면 패널,케이스 후면 패널을 손으로 누르는 동작
qwen3vl,CLIP3_before_reboot_0704,36,메인보드,RAM 모듈을 손으로 잡고 있는 중
qwen3vl,CLIP3_before_reboot_0704,43,메인보드,RAM 모듈을 메인보드의 슬롯에 장착 중
qwen3vl,CLIP3_before_reboot_0704,44,메인보드,메인보드에 장착된 RAM 모듈을 제거 중
qwen3vl,CLIP3_before_reboot_0704,45,메인보드,RAM 모듈을 메인보드의 슬롯에 장착 중
qwen3vl,CLIP3_before_reboot_0704,46,메인보드,RAM 모듈을 메인보드의 슬롯에 장착 중
qwen3vl,CLIP3_before_reboot_0704,47,메인보드,RAM 모듈을 메인보드의 슬롯에 장착 중
qwen3vl,CLIP3_before_reboot_0704,49,메인보드,RAM 모듈을 메인보드의 슬롯에 장착 중
qwen3vl,CLIP3_before_reboot_0704,51,메인보드,RAM 모듈을 메인보드의 슬롯에 장착 중
qwen3vl,CLIP3_before_reboot_0704,52,메인보드,메인보드에 장착된 RAM 모듈을 손으로 조작 중
qwen3vl,CLIP3_before_reboot_0704,53,메인보드,RAM 모듈을 메인보드의 슬롯에 장착 중
qwen3vl,CLIP3_before_reboot_0704,54,메인보드,RAM 모듈을 메인보드의 슬롯에 장착 중
qwen3vl,CLIP4_reboot_bios,1,컴퓨터 케이스,컴퓨터 케이스 앞면의 뚜껑을 열고 있는 중
qwen3vl,CLIP4_reboot_bios,100,키보드,작업자가 모니터 앞에서 키보드를 사용 중인 것으로 보임
qwen3vl,CLIP4_reboot_bios,112,키보드,모니터를 조정하거나 설치 중인 상태
qwen3vl,CLIP4_reboot_bios,112,스탠드,모니터를 조정하거나 설치 중인 상태
qwen3vl,CLIP4_reboot_bios,112,케이블,모니터를 조정하거나 설치 중인 상태
qwen3vl,CLIP4_reboot_bios,15,키보드,키보드를 사용하여 입력 작업 중
qwen3vl,CLIP4_reboot_bios,15,스마트폰,키보드를 사용하여 입력 작업 중
qwen3vl,CLIP4_reboot_bios,16,키보드,키보드를 사용하여 컴퓨터를 재부팅하는 동작
qwen3vl,CLIP4_reboot_bios,17,키보드,키보드를 사용하여 컴퓨터를 재부팅하는 동작 중
qwen3vl,CLIP4_reboot_bios,17,컵,키보드를 사용하여 컴퓨터를 재부팅하는 동작 중
qwen3vl,CLIP4_reboot_bios,19,키보드,키보드를 사용하여 컴퓨터를 재부팅 중
qwen3vl,CLIP4_reboot_bios,19,컵,키보드를 사용하여 컴퓨터를 재부팅 중
qwen3vl,CLIP4_reboot_bios,20,키보드,키보드를 사용하여 컴퓨터를 재부팅 중
qwen3vl,CLIP4_reboot_bios,21,키보드,컴퓨터 키보드를 사용하며 마우스로 작업 중
qwen3vl,CLIP4_reboot_bios,21,마우스,컴퓨터 키보드를 사용하며 마우스로 작업 중
qwen3vl,CLIP4_reboot_bios,22,키보드,키보드를 사용하여 컴퓨터를 재부팅 중인 것으로 보이는 입력 작업
qwen3vl,CLIP4_reboot_bios,23,키보드,키보드를 사용하여 컴퓨터를 재부팅 중
qwen3vl,CLIP4_reboot_bios,23,컵,키보드를 사용하여 컴퓨터를 재부팅 중
qwen3vl,CLIP4_reboot_bios,24,키보드,키보드를 사용하여 컴퓨터를 재부팅 중
qwen3vl,CLIP4_reboot_bios,24,컵,키보드를 사용하여 컴퓨터를 재부팅 중
qwen3vl,CLIP4_reboot_bios,25,키보드,키보드를 사용하여 컴퓨터를 재부팅 중
qwen3vl,CLIP4_reboot_bios,25,컵,키보드를 사용하여 컴퓨터를 재부팅 중
qwen3vl,CLIP4_reboot_bios,26,키보드,키보드를 사용하여 컴퓨터를 재부팅 중인 것으로 보이는 입력 작업
qwen3vl,CLIP4_reboot_bios,26,컵,키보드를 사용하여 컴퓨터를 재부팅 중인 것으로 보이는 입력 작업
qwen3vl,CLIP4_reboot_bios,33,키보드,컴퓨터 재부팅 중인 상태에서 키보드를 사용 중
qwen3vl,CLIP4_reboot_bios,33,컵,컴퓨터 재부팅 중인 상태에서 키보드를 사용 중
qwen3vl,CLIP4_reboot_bios,34,키보드,키보드를 사용하여 컴퓨터를 재부팅하는 중
qwen3vl,CLIP4_reboot_bios,34,컵,키보드를 사용하여 컴퓨터를 재부팅하는 중
qwen3vl,CLIP4_reboot_bios,35,키보드,컴퓨터 재부팅 중인 상태에서 키보드를 사용 중
qwen3vl,CLIP4_reboot_bios,35,컵,컴퓨터 재부팅 중인 상태에서 키보드를 사용 중
qwen3vl,CLIP4_reboot_bios,36,키보드,컴퓨터 재부팅 중인 상태에서 키보드를 사용 중
qwen3vl,CLIP4_reboot_bios,36,컵,컴퓨터 재부팅 중인 상태에서 키보드를 사용 중
qwen3vl,CLIP4_reboot_bios,37,키보드,키보드를 사용하여 컴퓨터를 재부팅하는 중
qwen3vl,CLIP4_reboot_bios,37,컵,키보드를 사용하여 컴퓨터를 재부팅하는 중
qwen3vl,CLIP4_reboot_bios,38,키보드,키보드를 사용하는 동작
qwen3vl,CLIP4_reboot_bios,38,컵,키보드를 사용하는 동작
qwen3vl,CLIP4_reboot_bios,39,키보드,키보드를 사용하여 컴퓨터를 재부팅하는 동작 중
qwen3vl,CLIP4_reboot_bios,39,컵,키보드를 사용하여 컴퓨터를 재부팅하는 동작 중
qwen3vl,CLIP4_reboot_bios,40,키보드,키보드를 사용하여 컴퓨터를 재부팅하는 과정 중
qwen3vl,CLIP4_reboot_bios,40,컵,키보드를 사용하여 컴퓨터를 재부팅하는 과정 중
qwen3vl,CLIP4_reboot_bios,41,키보드,키보드를 사용하여 컴퓨터를 재부팅하는 작업 중
qwen3vl,CLIP4_reboot_bios,41,컵,키보드를 사용하여 컴퓨터를 재부팅하는 작업 중
qwen3vl,CLIP4_reboot_bios,42,키보드,컴퓨터 키보드를 사용하여 입력 작업 중
qwen3vl,CLIP4_reboot_bios,42,컵,컴퓨터 키보드를 사용하여 입력 작업 중
qwen3vl,CLIP4_reboot_bios,43,키보드,키보드를 사용하여 컴퓨터를 재부팅하는 작업 중
qwen3vl,CLIP4_reboot_bios,43,컵,키보드를 사용하여 컴퓨터를 재부팅하는 작업 중
qwen3vl,CLIP4_reboot_bios,43,물병,키보드를 사용하여 컴퓨터를 재부팅하는 작업 중
qwen3vl,CLIP4_reboot_bios,90,테이블,모니터를 테이블 위에 고정된 위치에 놓음
qwen3vl,CLIP4_reboot_bios,92,테이블,모니터를 테이블 위에 고정된 위치에 놓음
qwen3vl,CLIP4_reboot_bios,94,키보드,모니터를 테이블 위에 고정된 위치로 배치함
qwen3vl,CLIP4_reboot_bios,94,테이블,모니터를 테이블 위에 고정된 위치로 배치함
internvl35,CLIP1_normal_assembly,1,컴퓨터 케이스,컴퓨터 케이스 열기
internvl35,CLIP1_normal_assembly,10,컴퓨터 본체,컴퓨터 내부 구성 요소 점검
internvl35,CLIP1_normal_assembly,17,메인보드,RAM 슬롯에 손을 대고 있는 상태
internvl35,CLIP1_normal_assembly,18,메인보드,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,25,컴퓨터 본체,RAM 슬롯을 조정하는 동작
internvl35,CLIP1_normal_assembly,26,메인보드,RAM 슬롯에 손을 대고 있는 상태
internvl35,CLIP1_normal_assembly,28,컴퓨터 본체,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,29,테이프,RAM 슬롯에 RAM 장착
internvl35,CLIP1_normal_assembly,3,키보드,키보드를 테이블에 놓음
internvl35,CLIP1_normal_assembly,30,컴퓨터 본체,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,31,컴퓨터 본체,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,33,컴퓨터 internals,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,38,컴퓨터 본체,컴퓨터 내부 부품 점검
internvl35,CLIP1_normal_assembly,39,컴퓨터 본체,하드웨어 부품 조정
internvl35,CLIP1_normal_assembly,4,컴퓨터 본체,컴퓨터 본체를 테이블에 올려놓음
internvl35,CLIP1_normal_assembly,43,컴퓨터,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,44,컴퓨터 본체,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,45,컴퓨터 케이스,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,5,노트북,노트북을 테이블에 올려놓음
internvl35,CLIP1_normal_assembly,5,테이블,노트북을 테이블에 올려놓음
internvl35,CLIP1_normal_assembly,50,컴퓨터 케이스,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,51,컴퓨터 본체,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,53,컴퓨터 케이스,GPUs를 설치하고 고정하는 작업
internvl35,CLIP1_normal_assembly,54,컴퓨터,GPUs를 장착하고 있는 상태
internvl35,CLIP1_normal_assembly,55,노트북 본체,노트북을 엽니다.
internvl35,CLIP1_normal_assembly,56,PC 케이스,GPU 장착
internvl35,CLIP1_normal_assembly,57,컴퓨터 케이스,GPU를 장착 중
internvl35,CLIP1_normal_assembly,59,HDMI 케이블,HDMI 케이블 연결
internvl35,CLIP1_normal_assembly,6,메인보드,컴퓨터 내부 구성 요소 점검
internvl35,CLIP1_normal_assembly,6,전원ユニット,컴퓨터 내부 구성 요소 점검
internvl35,CLIP1_normal_assembly,60,HDD 드라이브,HDD 드라이브에 케이블 연결
internvl35,CLIP1_normal_assembly,60,케이블,HDD 드라이브에 케이블 연결
internvl35,CLIP1_normal_assembly,61,HDD 드라이브,HDD 드라이브를 장착 중
internvl35,CLIP1_normal_assembly,61,케이블,HDD 드라이브를 장착 중
internvl35,CLIP1_normal_assembly,62,HDD 드라이브,HDD 드라이브에 케이블 연결
internvl35,CLIP1_normal_assembly,62,케이블,HDD 드라이브에 케이블 연결
internvl35,CLIP1_normal_assembly,63,스crewdriver,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,64,HDMI 케이블,HDMI 케이블 연결
internvl35,CLIP1_normal_assembly,65,케이블,케이블 연결하기
internvl35,CLIP1_normal_assembly,66,HDMI 케이블,HDMI 케이블 연결
internvl35,CLIP1_normal_assembly,67,스crewdriver,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,7,컴퓨터 본체,컴퓨터 내부 구성 요소 점검
internvl35,CLIP1_normal_assembly,71,케이블,모듈 번호를 부착한 케이블 연결
internvl35,CLIP1_normal_assembly,72,컴퓨터 본체,RAM 슬롯에 메모리 장착
internvl35,CLIP1_normal_assembly,75,HDMI 케이블,HDMI 케이블 연결
internvl35,CLIP1_normal_assembly,76,케이블,모듈 번호를 부착한 케이블을 조정
internvl35,CLIP1_normal_assembly,77,데이터 케이블,데이터 케이블 연결
internvl35,CLIP1_normal_assembly,77,컴퓨터 부품,데이터 케이블 연결
internvl35,CLIP1_normal_assembly,78,HDD 드라이브,HDD 드라이브를 장착 중
internvl35,CLIP1_normal_assembly,78,스crewdriver,HDD 드라이브를 장착 중
internvl35,CLIP1_normal_assembly,79,데이터 케이블,데이터 케이블 연결
internvl35,CLIP1_normal_assembly,79,서멀 테이프,데이터 케이블 연결
internvl35,CLIP1_normal_assembly,8,PC case,PC internals inspection
internvl35,CLIP1_normal_assembly,8,motherboard,PC internals inspection
internvl35,CLIP1_normal_assembly,8,power supply,PC internals inspection
internvl35,CLIP1_normal_assembly,80,케이블,컴퓨터 내부 구성 요소 점검
internvl35,CLIP1_normal_assembly,81,전원 케이블,컴퓨터 케이스의 전원 케이블 연결
internvl35,CLIP1_normal_assembly,82,컴퓨터 케이스,컴퓨터 케이스의 뒷면을 열고 있는 동작
internvl35,CLIP1_normal_assembly,83,케이블,컴퓨터 케이스의 뒷면 콘센트에 케이블 연결
internvl35,CLIP1_normal_assembly,85,컴퓨터 부품,컴퓨터 하드웨어 조립 또는 유지보수
internvl35,CLIP1_normal_assembly,86,컴퓨터 케이스,컴퓨터 케이스의 뒷면을 조정하는 동작
internvl35,CLIP1_normal_assembly,87,컴퓨터 본체,컴퓨터의 전원 버튼을 테스트 중
internvl35,CLIP1_normal_assembly,88,전원 케이블,컴퓨터 케이스의 전원 케이블 연결
internvl35,CLIP1_normal_assembly,89,서버 케이스,서버 케이스의 뒷면 플러그 연결하기
internvl35,CLIP1_normal_assembly,89,플러그,서버 케이스의 뒷면 플러그 연결하기
internvl35,CLIP1_normal_assembly,9,전원ユニット,컴퓨터 내부 구성 요소 점검
internvl35,CLIP1_normal_assembly,91,컴퓨터 케이스,컴퓨터 케이스를 조립대에 놓음
internvl35,CLIP1_normal_assembly,92,컴퓨터 파워 케이스,컴퓨터 케이스의 파워 버튼을 테스트 중
internvl35,CLIP1_normal_assembly,93,컴퓨터 파워 케이스,컴퓨터 케이스의 파워 버튼을 테스트 중
internvl35,CLIP1_normal_assembly,94,컴퓨터 파워 케이스,컴퓨터 케이스의 파워 버튼을 테스트 중
internvl35,CLIP1_normal_assembly,96,테이블,모니터를 테이블에 고정
internvl35,CLIP2_0704,0,컴퓨터 케이스,컴퓨터 케이스의 전원 버튼을 조작하는准备工作
internvl35,CLIP2_0704,1,컴퓨터 케이스,컴퓨터 케이스의 파워 버튼을 조작하는 동작
internvl35,CLIP2_0704,10,컴퓨터 케이스,컴퓨터 케이스의 파워 버튼을 조작하는 동작
internvl35,CLIP2_0704,11,컴퓨터 케이스,컴퓨터 케이스의 파워 버튼을 터치하는 동작
internvl35,CLIP2_0704,12,컴퓨터 본체,컴퓨터 본체의 전원 버튼을 확인하는 동작
internvl35,CLIP2_0704,13,서버 본체,서버 장치 설치 또는 조립
internvl35,CLIP2_0704,14,유연 케이블,RAM 슬롯에 메모리 장착
internvl35,CLIP2_0704,15,컴퓨터,RAM 슬롯에 메모리 장착
internvl35,CLIP2_0704,16,HDMI 케이블,HDMI 케이블 연결
internvl35,CLIP2_0704,17,케이블,GPU 케이블 연결
internvl35,CLIP2_0704,2,컴퓨터 케이스,컴퓨터 케이스의 전원 버튼을 확인하는 동작
internvl35,CLIP2_0704,20,스crewdriver,RAM 슬롯에 메모리 장착
internvl35,CLIP2_0704,21,케이블,케이블 연결 확인
internvl35,CLIP2_0704,25,스crewdriver,GPU 장착
internvl35,CLIP2_0704,28,HDMI 케이블,HDMI 케이블 연결
internvl35,CLIP2_0704,28,컴퓨터,HDMI 케이블 연결
internvl35,CLIP2_0704,31,케이블,GPU 케이블 연결
internvl35,CLIP2_0704,32,케이블,GPU 케이블 연결
internvl35,CLIP2_0704,33,유연 케이블,RAM 슬롯에 메모리 장착
internvl35,CLIP2_0704,35,PC internals,컴퓨터 internals을 조립 중
internvl35,CLIP2_0704,37,컴퓨터 케이스,RAM 슬롯에 메모리 장착
internvl35,CLIP2_0704,39,PC case,PC internals inspection
internvl35,CLIP2_0704,39,motherboard,PC internals inspection
internvl35,CLIP2_0704,4,컴퓨터 케이스,컴퓨터 케이스의 파워 버튼을 조작하는 동작
internvl35,CLIP2_0704,40,서멀 스틸 밴드,서멀 스틸 밴드 고정
